# stage type: 4275 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
t1	op	t2	=> y
i8	un*	u8	illegal
i8	un*	u16	illegal
i8	un*	u32	illegal
i8	un*	u64	illegal
i8	un*	ptr	illegal
i8	un*	arr	illegal
i8	un*	struct	illegal
i8	un*	fn	illegal
i8	un*	f32	illegal
i8	un*	f64	illegal
i8	|	void	illegal
i8	|	i8	i32
i8	|	i16	i32
i8	|	i32	i32
i8	|	i64	i64
i8	|	u8	i32
i8	|	u16	i32
i8	|	u32	u32
i8	|	u64	u64
i8	|	ptr	illegal
i8	|	arr	illegal
i8	|	struct	illegal
i8	|	fn	illegal
i8	|	f32	illegal
i8	|	f64	illegal
i8	^	void	illegal
i8	^	i8	i32
i8	^	i16	i32
i8	^	i32	i32
i8	^	i64	i64
i8	^	u8	i32
i8	^	u16	i32
i8	^	u32	u32
i8	^	u64	u64
i8	^	ptr	illegal
i8	^	arr	illegal
i8	^	struct	illegal
i8	^	fn	illegal
i8	^	f32	illegal
i8	^	f64	illegal
i8	<<	void	illegal
i8	<<	i8	i32
i8	<<	i16	i32
i8	<<	i32	i32
i8	<<	i64	i32
i8	<<	u8	i32
i8	<<	u16	i32
i8	<<	u32	i32
i8	<<	u64	i32
i8	<<	ptr	illegal
i8	<<	arr	illegal
i8	<<	struct	illegal
i8	<<	fn	illegal
i8	<<	f32	illegal
i8	<<	f64	illegal
i8	>>	void	illegal
i8	>>	i8	i32
i8	>>	i16	i32
i8	>>	i32	i32
i8	>>	i64	i32
i8	>>	u8	i32
i8	>>	u16	i32
i8	>>	u32	i32
i8	>>	u64	i32
i8	>>	ptr	illegal
i8	>>	arr	illegal
i8	>>	struct	illegal
i8	>>	fn	illegal
i8	>>	f32	illegal
i8	>>	f64	illegal
i16	+	void	illegal
i16	+	i8	i32
i16	+	i16	i32
i16	+	i32	i32
i16	+	i64	i64
i16	+	u8	i32
i16	+	u16	i32
i16	+	u32	u32
i16	+	u64	u64
i16	+	ptr	ptr
i16	+	arr	ptr
i16	+	struct	illegal
i16	+	fn	illegal
i16	+	f32	f32
i16	+	f64	f64
i16	-	void	illegal
i16	-	i8	i32
i16	-	i16	i32
i16	-	i32	i32
i16	-	i64	i64
i16	-	u8	i32
i16	-	u16	i32
i16	-	u32	u32
i16	-	u64	u64
i16	-	ptr	illegal
i16	-	arr	illegal
i16	-	struct	illegal
i16	-	fn	illegal
i16	-	f32	f32
i16	-	f64	f64
i16	*	void	illegal
i16	*	i8	i32
i16	*	i16	i32
i16	*	i32	i32
i16	*	i64	i64
i16	*	u8	i32
i16	*	u16	i32
i16	*	u32	u32
i16	*	u64	u64
i16	*	ptr	illegal
i16	*	arr	illegal
i16	*	struct	illegal
i16	*	fn	illegal
i16	*	f32	f32
i16	*	f64	f64
i16	/	void	illegal
i16	/	i8	i32
i16	/	i16	i32
i16	/	i32	i32
i16	/	i64	i64
i16	/	u8	i32
i16	/	u16	i32
i16	/	u32	u32
i16	/	u64	u64
i16	/	ptr	illegal
i16	/	arr	illegal
i16	/	struct	illegal
i16	/	fn	illegal
i16	/	f32	f32
i16	/	f64	f64
i16	%	void	illegal
i16	%	i8	i32
i16	%	i16	i32
i16	%	i32	i32
i16	%	i64	i64
i16	%	u8	i32
i16	%	u16	i32
i16	%	u32	u32
i16	%	u64	u64
i16	%	ptr	illegal
i16	%	arr	illegal
i16	%	struct	illegal
i16	%	fn	illegal
i16	%	f32	illegal
i16	%	f64	illegal
i16	<	void	i32
i16	<	i8	i32
i16	<	i16	i32
i16	<	i32	i32
i16	<	i64	i32
i16	<	u8	i32
i16	<	u16	i32
i16	<	u32	i32
i16	<	u64	i32
i16	<	ptr	i32
i16	<	arr	i32
i16	<	struct	i32
i16	<	fn	i32
i16	<	f32	i32
i16	<	f64	i32
i16	==	void	i32
i16	==	i8	i32
i16	==	i16	i32
i16	==	i32	i32
i16	==	i64	i32
i16	==	u8	i32
i16	==	u16	i32
i16	==	u32	i32
i16	==	u64	i32
i16	==	ptr	i32
i16	==	arr	i32
i16	==	struct	i32
i16	==	fn	i32
i16	==	f32	i32
i16	==	f64	i32
i16	=	void	i16
i16	=	i8	i16
i16	=	i16	i16
i16	=	i32	i16
i16	=	i64	i16
i16	=	u8	i16
i16	=	u16	i16
