# stage peep: 1632 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	a	store64	load64	imm	mov	jump	jumpz	alu	other
#field	b	store64	load64	imm	mov	jump	jumpz	add64	sub64	mul64	shl64	shr64	lshr64	or64	xor64	and64	other	none
#field	rel	none	same_slot	same_slot_same_reg	const0	const1	pow2	copy_dead	to_next	to_jump	a_dead	dest_to_mov	copy_into
#head	y	-	keep	load_to_mov	drop_b	drop_a	retarget	to_mov	to_shl	fold_imm	retarget_dest	fold_copy
a	b	rel	=> y
load64	mul64	const0	keep
load64	mul64	const1	keep
load64	mul64	pow2	keep
load64	mul64	copy_dead	keep
load64	mul64	to_next	keep
load64	mul64	to_jump	keep
load64	mul64	a_dead	drop_a
load64	mul64	dest_to_mov	keep
load64	mul64	copy_into	keep
load64	shl64	none	keep
load64	shl64	same_slot	keep
load64	shl64	same_slot_same_reg	keep
load64	shl64	const0	keep
load64	shl64	const1	keep
load64	shl64	pow2	keep
load64	shl64	copy_dead	keep
load64	shl64	to_next	keep
load64	shl64	to_jump	keep
load64	shl64	a_dead	drop_a
load64	shl64	dest_to_mov	keep
load64	shl64	copy_into	keep
load64	shr64	none	keep
load64	shr64	same_slot	keep
load64	shr64	same_slot_same_reg	keep
load64	shr64	const0	keep
load64	shr64	const1	keep
load64	shr64	pow2	keep
load64	shr64	copy_dead	keep
load64	shr64	to_next	keep
load64	shr64	to_jump	keep
load64	shr64	a_dead	drop_a
load64	shr64	dest_to_mov	keep
load64	shr64	copy_into	keep
load64	lshr64	none	keep
load64	lshr64	same_slot	keep
load64	lshr64	same_slot_same_reg	keep
load64	lshr64	const0	keep
load64	lshr64	const1	keep
load64	lshr64	pow2	keep
load64	lshr64	copy_dead	keep
load64	lshr64	to_next	keep
load64	lshr64	to_jump	keep
load64	lshr64	a_dead	drop_a
load64	lshr64	dest_to_mov	keep
load64	lshr64	copy_into	keep
load64	or64	none	keep
load64	or64	same_slot	keep
load64	or64	same_slot_same_reg	keep
load64	or64	const0	keep
load64	or64	const1	keep
load64	or64	pow2	keep
load64	or64	copy_dead	keep
load64	or64	to_next	keep
load64	or64	to_jump	keep
load64	or64	a_dead	drop_a
load64	or64	dest_to_mov	keep
load64	or64	copy_into	keep
load64	xor64	none	keep
load64	xor64	same_slot	keep
load64	xor64	same_slot_same_reg	keep
load64	xor64	const0	keep
load64	xor64	const1	keep
load64	xor64	pow2	keep
load64	xor64	copy_dead	keep
load64	xor64	to_next	keep
load64	xor64	to_jump	keep
load64	xor64	a_dead	drop_a
load64	xor64	dest_to_mov	keep
load64	xor64	copy_into	keep
load64	and64	none	keep
load64	and64	same_slot	keep
load64	and64	same_slot_same_reg	keep
load64	and64	const0	keep
load64	and64	const1	keep
load64	and64	pow2	keep
load64	and64	copy_dead	keep
load64	and64	to_next	keep
load64	and64	to_jump	keep
load64	and64	a_dead	drop_a
load64	and64	dest_to_mov	keep
load64	and64	copy_into	keep
load64	other	none	keep
load64	other	same_slot	keep
load64	other	same_slot_same_reg	keep
load64	other	const0	keep
load64	other	const1	keep
load64	other	pow2	keep
load64	other	copy_dead	keep
load64	other	to_next	keep
load64	other	to_jump	keep
load64	other	a_dead	drop_a
load64	other	dest_to_mov	keep
load64	other	copy_into	keep
load64	none	none	keep
load64	none	same_slot	keep
load64	none	same_slot_same_reg	keep
load64	none	const0	keep
load64	none	const1	keep
load64	none	pow2	keep
load64	none	copy_dead	keep
load64	none	to_next	keep
load64	none	to_jump	keep
load64	none	a_dead	drop_a
load64	none	dest_to_mov	keep
load64	none	copy_into	keep
imm	store64	none	keep
imm	store64	same_slot	keep
imm	store64	same_slot_same_reg	keep
imm	store64	const0	keep
imm	store64	const1	keep
imm	store64	pow2	keep
imm	store64	copy_dead	keep
imm	store64	to_next	keep
imm	store64	to_jump	keep
imm	store64	a_dead	drop_a
imm	store64	dest_to_mov	keep
imm	store64	copy_into	keep
imm	load64	none	keep
imm	load64	same_slot	keep
imm	load64	same_slot_same_reg	keep
imm	load64	const0	keep
imm	load64	const1	keep
imm	load64	pow2	keep
imm	load64	copy_dead	keep
imm	load64	to_next	keep
imm	load64	to_jump	keep
imm	load64	a_dead	drop_a
imm	load64	dest_to_mov	keep
imm	load64	copy_into	keep
imm	imm	none	keep
imm	imm	same_slot	keep
imm	imm	same_slot_same_reg	keep
imm	imm	const0	keep
imm	imm	const1	keep
imm	imm	pow2	keep
imm	imm	copy_dead	keep
imm	imm	to_next	keep
imm	imm	to_jump	keep
imm	imm	a_dead	drop_a
imm	imm	dest_to_mov	keep
imm	imm	copy_into	keep
imm	mov	none	keep
imm	mov	same_slot	keep
imm	mov	same_slot_same_reg	keep
imm	mov	const0	keep
imm	mov	const1	keep
imm	mov	pow2	keep
imm	mov	copy_dead	fold_imm
imm	mov	to_next	keep
imm	mov	to_jump	keep
imm	mov	a_dead	drop_a
imm	mov	dest_to_mov	retarget_dest
imm	mov	copy_into	keep
imm	jump	none	keep
imm	jump	same_slot	keep
